sangfroidperilouslicentiousebullientabasement
abated	{'Verb': ['make less active or intense', 'become less in amount or intensity']}
profundity	{'Noun': ['wisdom that is recondite and abstruse and profound', 'intellectual depth; penetrating knowledge; keen insight; etc', 'the intellectual ability to penetrate deeply into ideas', 'the quality of being physically deep']}
progeny	{'Noun': ['the immediate descendants of a person']}
prolific	{'Adjective': ['intellectually productive', 'bearing in abundance especially offspring']}
prolix	{'Adjective': ['tediously prolonged or tending to speak or write at great length']}
prologue	{'Noun': ['an introduction to a play']}
promulgates	{'Verb': ['state or announce', 'put a law into effect by formal declaration']}
prophetic	{'Adjective': ['foretelling events as if by supernatural intervention']}
proponent	{'Noun': ['a person who pleads for a cause or propounds an idea']}
propound	{'Verb': ['put forward, as of an idea']}
propriety	{'Noun': ['correct or appropriate behavior']}
proscribe	{'Verb': ['command against']}
prose	{'Noun': ['ordinary writing as distinguished from verse', 'matter of fact, commonplace, or dull expression']}
protagonist	{'Noun': ['a person who backs a politician or a team etc.', 'the principal character in a work of fiction']}
protean	{'Adjective': ['taking on different forms']}
proverbially	{'Adverb': ['in the manner of something that has become a byword']}
providential	{'Adjective': ['peculiarly fortunate or appropriate; as if by divine intervention', 'relating to or characteristic of providence', 'resulting from divine providence']}
provincial	{'Noun': ['(Roman Catholic Church', 'a country person'], 'Adjective': ['of or associated with a province', 'characteristic of the provinces or their people']}
prudent	{'Adjective': ['careful and sensible; marked by sound judgment']}
prudish	{'Adjective': ['exaggeratedly proper']}
prurient	{'Adjective': ['characterized by lust']}
psyche	"{'Noun': [""that which is responsible for one's thoughts, feelings, and conscious brain functions; the seat of the faculty of reason"", 'the immaterial part of a person; the actuating cause of an individual life', '(Greek mythology']}"
puckish	{'Adjective': ['naughtily or annoyingly playful']}
puerile	{'Adjective': ['of or characteristic of a child', 'displaying or suggesting a lack of maturity']}
pulchritude	{'Noun': ['physical beauty (especially of a woman']}
punctilious	{'Adjective': ['marked by precise accordance with details']}
pundits	{'Noun': ['someone who has been admitted to membership in a scholarly field']}
puritanical	{'Adjective': ['of or relating to Puritans or Puritanism', 'exaggeratedly proper', 'morally rigorous and strict']}
purported	{'Verb': ['have the often specious appearance of being, intending, or claiming', 'propose or intend']}
putative	{'Adjective': ['purported; commonly put forth or accepted as true on inconclusive grounds']}
pynchon	{'Noun': ['United States writer of pessimistic novels about life in a technologically advanced society (born in 1937']}
quaint	{'Adjective': ['strange in an interesting or pleasing way', 'very strange or unusual; odd or even incongruous in character or appearance', 'attractively old-fashioned (but not necessarily authentic']}
qualified	"{'Verb': ['prove capable or fit; meet requirements', 'pronounce fit or able', 'make more specific', 'make fit or prepared', 'specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement', 'describe or portray the character or the qualities or peculiarities of', 'add a modifier to a constituent'], 'Adjective': ['meeting the proper standards and requirements and training for an office or position or task', 'limited or restricted; not absolute', 'holding appropriate documentation and officially on record as qualified to perform a specified function or practice a specified skill', ""restricted in meaning; (as e.g. `man' in `a tall man'"", 'contingent on something else']}"
quanta	{'Noun': ['a discrete amount of something that is analogous to the quantities in quantum theory', '(physics', 'according to quantum theory']}
quantum	{'Noun': ['a discrete amount of something that is analogous to the quantities in quantum theory', '(physics', 'according to quantum theory']}
quarks	{'Noun': ['(physics', 'and their antiquarks', 'fresh unripened cheese of a smooth texture made from pasteurized milk, a starter, and rennet']}
quips	{'Noun': ['a witty saying', 'witty remark'], 'Verb': ['make jokes or quips']}
quixotic	{'Adjective': ['not sensible about practical matters; idealistic and unrealistic']}
quotidian	{'Adjective': ['found in the ordinary course of events']}
radiative
railed	{'Verb': ['complain bitterly', 'enclose with rails', 'provide with rails', 'separate with a railing', 'convey (goods etc.', 'travel by rail or train', 'lay with rails', 'fish with a handline over the rails of a boat', 'spread negative information about', 'criticize severely']}
rancorous	{'Adjective': ['showing deep-seated resentment']}
rapier	{'Noun': ['a straight sword with a narrow blade and two edges']}
rash	{'Noun': ['any red eruption of the skin', 'a series of unexpected and unpleasant occurrences'], 'Adjective': ['imprudently incurring risk', 'marked by defiant disregard for danger or consequences']}
raucous	{'Adjective': ['unpleasantly loud and harsh', 'disturbing the public peace; loud and rough']}
razed	{'Verb': ['tear down so as to make flat with the ground'], 'Adjective': ['torn down and broken up']}
reactionary	{'Noun': ['an extreme conservative; an opponent of progress or liberalism'], 'Adjective': ['opposed to political or social liberalism or reform']}
realist	{'Noun': ['a philosopher who believes that universals are real and exist independently of anyone thinking of them', 'a person who accepts the world as it literally is and deals with it accordingly', 'a painter who represents the world realistically and not in an idealized or romantic style']}
recanted	{'Verb': ['formally reject or disavow a formerly held belief, usually under pressure']}
recapitulated	{'Verb': ['summarize briefly', 'repeat stages of evolutionary development during the embryonic phase of life', 'repeat an earlier theme of a composition']}
reciprocal	{'Noun': ['something (a term or expression or concept', '(mathematics', 'hybridization involving a pair of crosses that reverse the sexes associated with each genotype'], 'Adjective': ['concerning each of two or more persons or things; especially given or done in return', 'of or relating to the multiplicative inverse of a quantity or function']}
recoiling	{'Verb': ['draw back, as with fear or pain', 'come back to the originator of an action with an undesired effect', 'spring back; spring away from an impact', 'spring back, as from a forceful thrust']}
redacted	{'Verb': ['formulate in a particular style or language', 'prepare for publication or presentation by correcting, revising, or adapting']}
redoubtable	{'Adjective': ['inspiring fear', 'worthy of respect or honor']}
redresses	{'Noun': ['a sum of money paid in compensation for loss or injury', 'act of correcting an error or a fault or an evil'], 'Verb': ['make reparations or amends for']}
redundant	{'Adjective': ['more than is needed, desired, or required', 'or unnecessary', 'repetition of same sense in different words']}
referents	{'Noun': ['something referred to; the object of a reference', 'the first term in a proposition; the term to which other terms relate', 'something that refers; a term that refers to another term']}
regressive	{'Adjective': ['(of taxes', 'opposing progress; returning to a former less advanced state']}
rejoinder	{'Noun': ['a quick reply to a question or remark (especially a witty or critical one']}
relished	{'Verb': ['derive or receive pleasure from; get enjoyment from; take pleasure in']}
reminiscences	{'Noun': ['a mental impression retained and recalled from the past', 'the process of remembering (especially the process of recovering information by mental effort']}
render	{'Noun': ['a substance similar to stucco but exclusively applied to masonry walls'], 'Verb': ['cause to become', 'give something useful or necessary to', 'give an interpretation or rendition of', 'give or supply', 'pass down', 'make over as a return', 'give back', 'to surrender someone or something to another', 'show in, or as in, a picture', 'coat with plastic or cement', 'bestow', 'restate (words', 'melt (fat or lard']}
rendered	{'Verb': ['cause to become', 'give something useful or necessary to', 'give an interpretation or rendition of', 'give or supply', 'pass down', 'make over as a return', 'give back', 'to surrender someone or something to another', 'show in, or as in, a picture', 'coat with plastic or cement', 'bestow', 'restate (words', 'melt (fat or lard']}
reneged	{'Verb': ['fail to fulfill a promise or obligation']}
renowned	{'Adjective': ['widely known and esteemed']}
repentant	{'Adjective': ['feeling or expressing remorse for misdeeds']}
repertory	{'Noun': ['a storehouse where a stock of things is kept', 'the entire range of skills or aptitudes or devices used in a particular field or occupation', 'a collection of works (plays, songs, operas, ballets', 'a theatrical company that performs plays from a repertoire']}
repulsed	{'Verb': ['force or drive back', 'be repellent to; cause aversion in', 'cause to move back by force or influence']}
requisite	{'Noun': ['anything indispensable'], 'Adjective': ['necessary for relief or supply']}
requite	{'Verb': ['make repayment for or return something']}
resilience	{'Noun': ['the physical property of a material that can return to its original shape or position after deformation that does not exceed its elastic limit', 'an occurrence of rebounding or springing back']}
restitution	{'Noun': ['a sum of money paid in compensation for loss or injury', 'the act of restoring something to its original state', 'getting something back again']}
restorative	{'Noun': ['a medicine that strengthens and invigorates', 'a device for treating injury or disease'], 'Adjective': ['tending to impart new life and vigor to', 'promoting recuperation']}
resurrected	{'Verb': ['cause to become alive again', 'restore from a depressed, inactive, or unused state', 'return from the dead']}
retching	{'Verb': ['eject the contents of the stomach through the mouth', 'make an unsuccessful effort to vomit; strain to vomit']}
retort	{'Noun': ['a quick reply to a question or remark (especially a witty or critical one', 'a vessel where substances are distilled or decomposed by heat'], 'Verb': ['answer back']}
retrograde	{'Verb': ['move backward in an orbit, of celestial bodies', 'move in a direction contrary to the usual one', 'move back', 'go back over', 'get worse or fall back to a previous condition'], 'Adjective': ['moving from east to west on the celestial sphere; or--for planets--around the sun in a direction opposite to that of the Earth', 'of amnesia; affecting time immediately preceding trauma', 'going from better to worse', 'moving or directed or tending in a backward direction or contrary to a previous direction']}
retrospective	"{'Noun': [""an exhibition of a representative selection of an artist's life work""], 'Adjective': ['concerned with or related to the past']}"
reverent	{'Adjective': ['feeling or showing profound respect or veneration', 'showing great reverence for god']}
revisionist	{'Noun': ['a Communist who tries to rewrite Marxism to justify a retreat from the revolutionary position']}
revivification	{'Noun': ['bringing again into activity and prominence']}
rhetoric	{'Noun': ['using language effectively to please or persuade', 'high-flown style; excessive use of verbal ornamentation', 'loud and confused and empty talk', 'study of the technique and rules for using language effectively (especially in public speaking']}
riddled	{'Verb': ['pierce with many holes', 'set a difficult problem or riddle', 'separate with a riddle, as grain from chaff', 'spread or diffuse through', 'speak in riddles', 'explain a riddle'], 'Adjective': ['spread throughout']}
rife with
risqué
robust	{'Adjective': ['sturdy and strong in form, constitution, or construction', 'marked by richness and fullness of flavor', 'strong enough to withstand or overcome intellectual challenges or adversity', 'rough and crude']}
rout	{'Noun': ['a disorderly crowd of people', 'an overwhelming defeat'], 'Verb': ['cause to flee', 'dig with the snout', 'make a groove in', 'defeat disastrously']}
rue	{'Noun': ['European strong-scented perennial herb with grey-green bitter-tasting leaves; an irritant similar to poison ivy', 'leaves sometimes used for flavoring fruit or claret cup but should be used with great caution: can cause irritation like poison ivy', 'sadness associated with some wrong done or some disappointment', '(French'], 'Verb': ['feel remorse for; feel sorry for; be contrite about']}
saccharine	{'Adjective': ['overly sweet']}
sagacious	{'Adjective': ['acutely insightful and wise', 'skillful in statecraft or management']}
sages	{'Noun': ['a mentor in spiritual and philosophical topics who is renowned for profound wisdom', 'aromatic fresh or dried grey-green leaves used widely as seasoning for meats and fowl and game etc', 'any of various plants of the genus Salvia; a cosmopolitan herb']}
salubrious	{'Adjective': ['promoting health; healthful', 'favorable to health of mind or body']}
salutation	{'Noun': ['an act of honor or courteous recognition', '(usually plural', 'especially on meeting', 'word of greeting used to begin a letter']}
salvo	{'Noun': ['an outburst resembling the discharge of firearms or the release of bombs', 'rapid simultaneous discharge of firearms', 'a sudden outburst of cheers']}
sanctioned	{'Verb': ['give sanction to', 'give authority or permission to', 'give religious sanction to, such as through on oath'], 'Adjective': ['conforming to orthodox or recognized rules', 'formally approved and invested with legal authority', 'established by authority; given authoritative approval']}
sangfroid
sanguinary	{'Adjective': ['accompanied by bloodshed', 'marked by eagerness to resort to violence and bloodshed']}
sanguine	{'Noun': ['a blood-red color'], 'Adjective': ['confidently optimistic and cheerful', 'inclined to a healthy reddish color often associated with outdoor life']}
sardonic	{'Adjective': ['disdainfully or ironically humorous; scornful and mocking']}
sartorial	{'Adjective': ['of or relating to the sartorius muscle', 'of or relating to a tailor or to tailoring']}
satiric	{'Adjective': ['exposing human folly to ridicule']}
satisfies	{'Verb': ['meet the requirements or expectations of', 'make happy or satisfied', 'fill, satisfy or meet a want or need or condtion ro restriction']}
savvy	{'Noun': ['the cognitive condition of someone who understands'], 'Verb': ['get the meaning of something']}
scandal	{'Noun': ['disgraceful gossip about the private lives of other people', 'a disgraceful event']}
scanty	{'Noun': ['short underpants for women or children (usually used in the plural'], 'Adjective': ['lacking in magnitude or quantity', '(of clothing']}
scarcity	{'Noun': ['a small and inadequate amount']}
scintillating	{'Verb': ['give off', 'reflect brightly', 'emit or reflect light in a flickering manner', 'physics: fluoresce momentarily when struck by a charged particle or high-energy photon', 'be lively or brilliant or exhibit virtuosity'], 'Adjective': ['brilliantly clever', 'marked by high spirits or excitement', 'having brief brilliant points or flashes of light']}
scotch	{'Noun': ['a slight surface cut (especially a notch that is made to keep a tally', 'whiskey distilled in Scotland; especially whiskey made from malted barley in a pot still'], 'Verb': ['hinder or prevent (the efforts, plans, or desires', 'make a small cut or score into'], 'Adjective': ['of or relating to or characteristic of Scotland or its people or culture or its English dialect or Gaelic language', 'avoiding waste']}
scrutinized	{'Verb': ['to look at critically or searchingly, or in minute detail', 'examine carefully for accuracy with the intent of verification']}
seasoned	{'Verb': ['lend flavor to', 'make fit', 'make more temperate, acceptable, or suitable by adding something else'], 'Adjective': ['aged or processed', 'rendered competent through trial and experience']}
sectarian	{'Noun': ['a member of a sect'], 'Adjective': ['of or relating to or characteristic of a sect or sects', 'belonging to or characteristic of a sect']}
seditious	{'Adjective': ['arousing to action or rebellion', 'in opposition to a civil authority or government']}
sedulous	{'Adjective': ['marked by care and persistent effort']}
seemingly	{'Adverb': ['from appearances alone']}
seething	{'Verb': ['be noisy with activity', 'be in an agitated emotional state', 'foam as if boiling', 'boil vigorously'], 'Adjective': ['in constant agitation']}
selfless	{'Adjective': ['showing unselfish concern for the welfare of others']}
semblance	{'Noun': ['an outward or token appearance or form that is deliberately misleading', 'an erroneous mental representation', 'picture consisting of a graphic image of a person or thing']}
semiotic	{'Adjective': ['of or relating to semiotics']}
sensibilities	{'Noun': ['mental responsiveness and awareness', 'refined sensitivity to pleasurable or painful impressions', '(physiology']}
sentiments	{'Noun': ['tender, romantic, or nostalgic feeling or emotion', 'a personal belief or judgment that is not founded on proof or certainty']}
sentries	{'Noun': ['a person employed to keep watch for some anticipated event']}
serendipitous	{'Adjective': ['lucky in making unexpected and fortunate discoveries']}
serendipity	{'Noun': ['good luck in making unexpected and fortunate discoveries']}
seriously	{'Adverb': ['in a serious manner', 'to a severe or serious degree']}
shaman	{'Noun': ['in societies practicing shamanism: one acting as a medium between the visible and spirit worlds; practices sorcery for healing or divination']}
shunned	{'Verb': ['avoid and stay away from deliberately; stay clear of', 'expel from a community or group']}
shuttered	{'Verb': ['close with shutters'], 'Adjective': ['provided with shutters or shutters as specified; often used in combination']}
signify	{'Verb': ['denote or connote', 'convey or express a meaning', 'make known with a word or signal']}
similes	"{'Noun': [""a figure of speech that expresses a resemblance between things of different kinds (usually formed with `like' or `as'""]}"
simony	{'Noun': ['traffic in ecclesiastical offices or preferments']}
simpatico
simulacrum	{'Noun': ['an insubstantial or vague semblance', 'a representation of a person (especially in the form of sculpture']}
sinecure	{'Noun': ['a benefice to which no spiritual or pastoral duties are attached', 'an office that involves minimal duties']}
singular	{'Noun': ['the form of a word that is used to denote a singleton'], 'Adjective': ['unusual or striking', 'beyond or deviating from the usual or expected', 'being a single and separate person or thing', 'composed of one member, set, or kind', 'grammatical number category referring to a single item or unit', 'the single one of its kind']}
skittish	{'Adjective': ['unpredictably excitable (especially of horses']}
skulk	{'Verb': ['lie in wait, lie in ambush, behave in a sneaky and secretive manner', 'avoid responsibilities and duties, e.g., by pretending to be ill', 'move stealthily']}
slanderous	{'Adjective': ['(used of statements']}
slipstream	{'Noun': ['the flow of air that is driven backwards by an aircraft propeller']}
sloth	{'Noun': ['a disinclination to work or exert yourself', 'any of several slow-moving arboreal mammals of South America and Central America; they hang from branches back downward and feed on leaves and fruits', 'apathy and inactivity in the practice of virtue (personified as one of the deadly sins']}
smitten	{'Verb': ['inflict a heavy blow on, with the hand, a tool, or a weapon', 'affect suddenly with deep feeling', 'cause physical pain or suffering in'], 'Adjective': ['(used in combination', 'marked by foolish or unreasoning fondness']}
sobriquets	"{'Noun': [""a familiar name for a person (often a shortened version of a person's given name""]}"
socialist	{'Noun': ['a political advocate of socialism'], 'Adjective': ['advocating or following the socialist principles']}
solace	{'Noun': ['the comfort you feel when consoled in times of disappointment', 'comfort in disappointment or misery', 'the act of consoling; giving relief in affliction'], 'Verb': ['give moral or emotional strength to']}
sole	{'Noun': ['the underside of footwear or a golf club', 'lean flesh of any of several flatfish', 'the underside of the foot', 'right-eyed flatfish; many are valued as food; most common in warm seas especially European'], 'Verb': ['put a new sole on'], 'Adjective': ['not divided or shared with others', 'being the only one; single and isolated from others']}
solecisms	{'Noun': ['a socially awkward or tactless act']}
solemnity	{'Noun': ['a trait of dignified seriousness', 'a solemn and dignified feeling']}
soliciting	{'Verb': ['make a solicitation or entreaty for something; request urgently or persistently', 'make amorous advances towards', 'approach with an offer of sexual favors', 'incite, move, or persuade to some act of lawlessness or insubordination', 'make a solicitation or petition for something desired']}
solicitous	{'Adjective': ['full of anxiety and concern', 'showing hovering attentiveness']}
solicitousness	{'Noun': ['a feeling of excessive concern']}
solipsistic
solvent	{'Noun': ['a liquid substance capable of dissolving other substances', 'a statement that solves a problem or explains how to solve the problem'], 'Adjective': ['capable of meeting financial obligations']}
somber	{'Adjective': ['lacking brightness or color; dull', 'grave or even gloomy in character']}
sophistry	{'Noun': ['a deliberately invalid argument displaying ingenuity in reasoning in the hope of deceiving someone']}
sophomoric
sound	{'Noun': ['the particular auditory effect produced by a given cause', 'the subjective sensation of hearing something', 'mechanical vibrations transmitted by an elastic medium', 'the sudden occurrence of an audible event', 'the audible part of a transmitted signal', '(phonetics', 'a narrow channel of the sea joining two larger bodies of water', 'a large ocean inlet or deep bay'], 'Verb': ['appear in a certain way', 'make a certain noise or sound', 'give off a certain sound or sounds', 'announce by means of a sound', 'utter with vibrating vocal chords', 'cause to sound', 'measure the depth of (a body of water'], 'Adjective': ['financially secure and safe', 'exercising or showing good judgment', 'in good condition; free from defect or damage or decay', 'in excellent physical condition', 'logically valid', 'having legal efficacy or force', 'vigorous or severe', 'free from moral defect', '(of sleep', 'complete; thorough']}
spartan	{'Noun': ['a resident of Sparta'], 'Adjective': ['of or relating to or characteristic of Sparta or its people', 'resolute in the face of pain or danger or adversity', 'unsparing and uncompromising in discipline or judgment', 'practicing great self-denial']}
specious	{'Adjective': ['plausible but false', 'based on pretense; deceptively pleasing']}
specter	{'Noun': ['a mental representation of some haunting experience', 'a ghostly appearing figure']}
spectroscopy	{'Noun': ['the use of spectroscopes to analyze spectra']}
spontaneous	{'Adjective': ['happening or arising without apparent external cause', 'said or done without having been planned or written in advance']}
spooked	{'Verb': ['frighten or scare, and often provoke into a violent action']}
spurious	{'Adjective': ['ostensibly valid, but not actually valid', 'plausible but false', 'born out of wedlock', 'false or fake; not what it appears to be']}
squalid	{'Adjective': ['morally degraded', 'foul and run-down and repulsive']}
stagnant	{'Adjective': ['not circulating or flowing', 'not growing or changing; without force or vitality']}
stanchion	{'Noun': ['any vertical post or rod used as a support']}
statue	{'Noun': ['a sculpture representing a human or animal']}
staunch	{'Verb': ['stop the flow of a liquid'], 'Adjective': ['firm and dependable especially in loyalty']}
stem	{'Noun': ['(linguistics', 'a slender or elongated structure that supports a plant or fungus or a plant part or plant organ', 'cylinder forming a long narrow part of something', 'the tube of a tobacco pipe', 'front part of a vessel or aircraft', 'a turn made in skiing; the back of one ski is forced outward and the other ski is brought parallel to it'], 'Verb': ['grow out of, have roots in, originate in', 'cause to point inward', 'stop the flow of a liquid', 'remove the stem from']}
stems	{'Noun': ['(linguistics', 'a slender or elongated structure that supports a plant or fungus or a plant part or plant organ', 'cylinder forming a long narrow part of something', 'the tube of a tobacco pipe', 'front part of a vessel or aircraft', 'a turn made in skiing; the back of one ski is forced outward and the other ski is brought parallel to it'], 'Verb': ['grow out of, have roots in, originate in', 'cause to point inward', 'stop the flow of a liquid', 'remove the stem from']}
steward	"{'Noun': ['someone who manages property or other affairs for someone else', ""the ship's officer who is in charge of provisions and dining arrangements"", 'an attendant on an airplane', 'a union member who is elected to represent fellow workers in negotiating with management', 'one having charge of buildings or grounds or animals']}"
stipulate	{'Verb': ['specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement', 'give a guarantee or promise of', 'make an oral contract or agreement in the verbal form of question and answer that is necessary to give it legal force']}
stoic	{'Noun': ['a member of the ancient Greek school of philosophy founded by Zeno', 'someone who is seemingly indifferent to emotions'], 'Adjective': ['seeming unaffected by pleasure or pain; impassive', 'pertaining to Stoicism or its followers']}
stolid	{'Adjective': ['having or revealing little emotion or sensibility; not easily aroused or excited']}
stouter	"{'Adjective': ['dependable', ""euphemisms for `fat'"", 'having rugged physical strength; inured to fatigue or hardships']}"
strapping	{'Verb': ['tie with a strap', 'beat severely with a whip or rod', 'sharpen with a strap', 'secure (a sprained joint'], 'Adjective': ['muscular and heavily built']}
stratagem	{'Noun': ['a maneuver in a game or conversation', 'an elaborate or deceitful scheme contrived to deceive or evade']}
stridency	{'Noun': ['having the timbre of a loud high-pitched sound']}
strife	{'Noun': ['lack of agreement or harmony', 'bitter conflict; heated often violent dissension']}
strive	{'Verb': ['attempt by employing effort', 'to exert much effort or energy']}
subterfuge	{'Noun': ['something intended to misrepresent the true nature of an activity']}
subversion	"{'Noun': [""destroying someone's (or some group's"", 'the act of subverting; as overthrowing or destroying a legally constituted government']}"
subverted	{'Verb': ['cause the downfall of; of rulers', 'corrupt morally or by intemperance or sensuality', 'destroy property or hinder normal operations', 'destroy completely']}
suffrage	{'Noun': ['a legal right guaranteed by the 15th amendment to the US Constitution; guaranteed to women by the 19th amendment']}
superficial	{'Adjective': ['concerned with or comprehending only what is apparent or obvious; not deep or penetrating emotionally or intellectually', 'of, affecting, or being on or near the surface', 'of little substance or significance', 'occurring on or near the surface of the skin', 'hasty and without attention to detail; not thorough', 'or cursory']}
superfluous	{'Adjective': ['serving no useful purpose; having no excuse for being', 'more than is needed, desired, or required', 'or unnecessary']}
supersede	{'Verb': ['take the place or move into the position of']}
supplants	{'Verb': ['take the place or move into the position of']}
supplement	{'Noun': ['textual matter that is added onto a publication; usually at the end', 'a quantity added (e.g. to make up for a deficiency', 'a supplementary component that improves capability'], 'Verb': ['add as a supplement to what seems insufficient', 'serve as a supplement to', 'add to the very end']}
supplicated	{'Verb': ['ask humbly (for something', 'make a humble, earnest petition', 'ask for humbly or earnestly, as in prayer']}
surreptitious	{'Adjective': ['marked by quiet and caution and secrecy; taking pains to avoid being observed', 'conducted with or marked by hidden aims or methods']}
sussing
sweeping	{'Noun': ['the act of cleaning with a broom'], 'Verb': ['sweep across or over', 'move with sweeping, effortless, gliding motions', 'sweep with a broom or as if with a broom', 'force into some kind of situation, condition, or course of action', 'to cover or extend over an area or time period', 'clean by sweeping', 'win an overwhelming victory in or on', 'cover the entire range of', 'make a big sweeping gesture or movement'], 'Adjective': ['taking in or moving over (or as if over', 'ignoring distinctions']}
sycophant	{'Noun': ['a person who tries to please someone in order to gain a personal advantage']}
syncopated	{'Verb': ['omit a sound or letter in a word', 'modify the rhythm by stressing or accenting a weak beat'], 'Adjective': ['stressing a normally weak beat']}
synergetic	{'Adjective': ['working together; used especially of groups, as subsidiaries of a corporation, cooperating for an enhanced effect']}
synoptic	{'Adjective': ['presenting a summary or general view of a whole', 'presenting or taking the same point of view; used especially with regard to the first three gospels of the New Testament']}
tacit	{'Adjective': ['implied by or inferred from actions or statements']}
taciturn	{'Adjective': ['habitually reserved and uncommunicative']}
taciturnity	{'Noun': ['the trait of being uncommunicative; not volunteering anything more than necessary']}
tangential	{'Adjective': ['of superficial relevance if any', 'of or relating to or acting along or in the direction of a tangent']}
tangible	{'Adjective': ['perceptible by the senses especially the sense of touch', 'capable of being treated as fact', '(of especially business assets', 'capable of being perceived; especially capable of being handled or touched or felt']}
tantamount	{'Adjective': ['being essentially equal to something']}
tarry	{'Verb': ['be about', 'leave slowly and hesitantly'], 'Adjective': ['having the characteristics of pitch or tar']}
tat	{'Noun': ['tastelessness by virtue of being cheap and vulgar', 'a projective technique using black-and-white pictures; subjects tell a story about each picture'], 'Verb': ['make lacework by knotting or looping']}
taut	{'Adjective': ['pulled or drawn tight', 'subjected to great tension; stretched tight']}
taxonomy	{'Noun': ['a classification of organisms into groups based on similarities of structure or origin etc', '(biology', 'practice of classifying plants and animals according to their presumed natural relationships']}
teeming	{'Verb': ['be teeming, be abuzz', 'move in large numbers'], 'Adjective': ['abundantly filled with especially living things']}
temper	{'Noun': ['a sudden outburst of anger', 'a characteristic (habitual or relatively temporary', 'a disposition to exhibit uncontrolled anger', 'the elasticity and hardness of a metal object; its ability to absorb considerable energy before cracking'], 'Verb': ['bring to a desired consistency, texture, or hardness by a process of gradually heating and cooling', 'harden by reheating and cooling in oil', 'adjust the pitch (of pianos', 'make more temperate, acceptable, or suitable by adding something else', 'change by restraining or moderating']}
temperate	{'Adjective': ['(of weather or climate', 'not extreme in behavior', 'not extreme']}
tenaciously	{'Adverb': ['with obstinate determination']}
tenacity	{'Noun': ['persistent determination']}
tendentious	{'Adjective': ['having or marked by a strong tendency especially a controversial one']}
tenets	{'Noun': ['a religious doctrine that is proclaimed as true without proof']}
tepid	{'Adjective': ['moderately warm', 'feeling or showing little interest or enthusiasm']}
terseness	{'Noun': ['a neatly short and concise expressive style']}
tethered	{'Verb': ['tie with a tether'], 'Adjective': ['confined or restricted with or as if with a rope or chain']}
theology	{'Noun': ['the rational and systematic study of religion and its influences and of the nature of religious truth', 'a particular system or school of religious beliefs and teachings', 'the learned profession acquired by specialized courses in religion (usually taught at a college or seminary']}
theses	{'Noun': ['an unproved statement put forward as a premise in an argument', 'a treatise advancing a new point of view resulting from research; usually a requirement for an advanced academic degree']}
timorous	{'Adjective': ['timid by nature or revealing timidity']}
tirade	{'Noun': ['a speech of violent denunciation']}
titillation	{'Noun': ['a tingling feeling of excitement (as from teasing or tickling', 'an agreeable arousal', 'the act of tickling']}
toil	{'Noun': ['productive work (especially physical work done for wages'], 'Verb': ['work hard']}
tonality	{'Noun': ['any of 24 major or minor diatonic scales that provide the tonal framework for a piece of music']}
tony
torpid	{'Adjective': ['slow and apathetic', 'in a condition of biological rest or suspended animation']}
torpor	{'Noun': ['a state of motor and mental inactivity with a partial suspension of sensibility', 'inactivity resulting from lethargy and lack of vigor or energy']}
tortuous	{'Adjective': ['highly complex or intricate and occasionally devious', 'marked by repeated turns and bends', 'not straightforward']}
torturous	{'Adjective': ['extremely painful']}
totalitarian	{'Noun': ['an adherent of totalitarian principles or totalitarian government'], 'Adjective': ['characterized by a government in which the political authority exercises absolute and centralized control', 'of or relating to the principles of totalitarianism according to which the state regulates every realm of life']}
touchstone	{'Noun': ['a basis for comparison; a reference point against which other things can be evaluated']}
tout	{'Noun': ['someone who buys tickets to an event in order to resell them at a profit', 'someone who advertises for customers in an especially brazen way', 'one who sells advice about gambling or speculation (especially at the racetrack'], 'Verb': ['advertize in strongly positive terms', 'show off']}
touted	{'Verb': ['advertize in strongly positive terms', 'show off']}
tractable	{'Adjective': ['easily managed (controlled or taught or molded', 'responsive to suggestions and influences']}
transgressor	{'Noun': ['someone who transgresses; someone who violates a law or command']}
transient	{'Noun': ['one who stays for only a short time', '(physics'], 'Adjective': ['of a mental act; causing effects outside the mind', 'lasting a very short time']}
transmogrify	{'Verb': ['change completely the nature or appearance of']}
transmute	{'Verb': ['change in outward structure or looks', 'change or alter in form, appearance, or nature', 'alter the nature of (elements']}
tremulous	{'Adjective': ['(of the voice']}
trenchant	{'Adjective': ['having keenness and forcefulness and penetration in thought, expression, or intellect', 'characterized by or full of force and vigor', 'clearly or sharply defined to the mind']}
trepidation	{'Noun': ['a feeling of alarm or dread']}
triage	{'Noun': ['sorting and allocating aid on the basis of need for or likely benefit from medical treatment or food']}
tribute	{'Noun': ['something given or done as an expression of esteem', 'payment by one nation for protection by another', 'payment extorted by gangsters on threat of violence']}
trilobites	{'Noun': ['an extinct arthropod that was abundant in Paleozoic times; had an exoskeleton divided into three parts']}
truculent	{'Adjective': ['defiantly aggressive']}
truisms	{'Noun': ['an obvious truth']}
turbines	{'Noun': ['rotary engine in which the kinetic energy of a moving fluid is converted into mechanical energy by causing a bladed rotor to rotate']}
turpitude	{'Noun': ['a corrupt or depraved or degenerate act or practice']}
tyrannical	{'Adjective': ['marked by unjust severity or arbitrary behavior', 'characteristic of an absolute ruler or absolute rule; having absolute sovereignty']}
ubiquitous	{'Adjective': ['being present everywhere at once']}
unabashed	{'Adjective': ['not embarrassed']}
